2021-01-02_13:48:15 regensensor_aussen reread
2021-01-04_03:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_03:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_04:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_04:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_05:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_05:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_06:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_06:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_07:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_07:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_08:17:56 regensensor_aussen reading01User: 846.2
2021-01-04_08:17:56 regensensor_aussen reading01User: 846.2
2021-01-04_08:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_08:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_09:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_09:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_10:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_10:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_11:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_11:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_12:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_12:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_13:51:16 regensensor_aussen reading01User: 846.2
2021-01-04_13:51:16 regensensor_aussen reading01User: 846.2
2021-01-04_13:56:34 regensensor_aussen reading01User: 846.2
2021-01-04_13:56:34 regensensor_aussen reading01User: 846.2
2021-01-04_13:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_13:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_14:26:01 regensensor_aussen reading01User: 846.2
2021-01-04_14:26:01 regensensor_aussen reading01User: 846.2
2021-01-04_14:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_14:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_15:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_15:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_16:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_16:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_17:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_17:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_18:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_18:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_19:59:21 regensensor_aussen reading01User: 846.2
2021-01-04_19:59:21 regensensor_aussen reading01User: 846.2
2021-01-04_19:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_19:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_20:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_20:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_21:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_21:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_22:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_22:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_23:59:55 regensensor_aussen reading01User: 846.2
2021-01-04_23:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_00:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_00:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_01:32:40 regensensor_aussen reading01User: 846.2
2021-01-05_01:32:40 regensensor_aussen reading01User: 846.2
2021-01-05_01:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_01:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_02:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_02:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_03:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_03:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_04:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_04:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_05:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_05:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_06:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_06:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_07:06:01 regensensor_aussen reading01User: 846.2
2021-01-05_07:06:01 regensensor_aussen reading01User: 846.2
2021-01-05_07:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_07:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_08:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_08:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_09:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_09:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_10:46:14 regensensor_aussen reread
2021-01-05_10:46:14 regensensor_aussen reading01User: 846.2
2021-01-05_10:46:14 regensensor_aussen reading01User: 846.2
2021-01-05_10:46:14 regensensor_aussen reading01User: 846.2
2021-01-05_10:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_10:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_11:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
